"","1","2"
"顺风",0.00117721342879464,0
"乙醇",0.00105949208591518,0
"存托",0.000385269849423701,0
"粮食",0.000363865968900162,0
"凭证",0.000363865968900162,0
"乙醇汽油",0.000288952387067775,0
"沪伦通",0.000278250446806006,0
"车主",0.000256846566282467,0
"徐水",0.000246144626020698,0
"万达",0.000235442685758928,0
"乘客",0.000224740745497159,0
"融创",0.000224740745497159,0
"双隆",0.000224740745497159,0
"周转率",0.00020333686497362,0
"支行",0.00019263492471185,0
"共振",0.000149827163664772,0
"基础证券",0.000149827163664772,0
"生物燃料",0.000149827163664772,0
"托人",0.000149827163664772,0
"万科",0.000149827163664772,0
"电动车",0.000139125223403003,0
"木薯",0.000139125223403003,0
"首批",0.000139125223403003,0
"孙宏斌",0.000139125223403003,0
"持有人",0.000128423283141234,0
"柳青",0.000128423283141234,0
"由负",0.000128423283141234,0
"车用",0.000117721342879464,0
"模型",0.000117721342879464,0
"上交所",0.000117721342879464,0
"纤维素",0.000117721342879464,0
"包叔",0.000107019402617695,0
"担保",0.000107019402617695,0
"分行",0.000107019402617695,0
"工程机械",0.000107019402617695,0
"海口",0.000107019402617695,0
"恒大",0.000107019402617695,0
"金正恩",0.000107019402617695,0
"扩产",0.000107019402617695,0
"乐清",0.000107019402617695,0
"权益类",0.000107019402617695,0
"扰动",0.000107019402617695,0
"商誉",0.000107019402617695,0
"网约车",0.000107019402617695,0
"徐水县",0.000107019402617695,0
"邮轮",0.000107019402617695,0
"嘀嗒",0.000107019402617695,0
"北约",9.63174623559251e-05,0
"蔡某",9.63174623559251e-05,0
"跌回",9.63174623559251e-05,0
"老孙",9.63174623559251e-05,0
"伦交所",9.63174623559251e-05,0
"有息",9.63174623559251e-05,0
"布伦森",8.56155220941557e-05,0
"车型",8.56155220941557e-05,0
"海富通",8.56155220941557e-05,0
"坏账",8.56155220941557e-05,0
"减值",8.56155220941557e-05,0
"金融资产",8.56155220941557e-05,0
"聚优",8.56155220941557e-05,0
"老王",8.56155220941557e-05,0
"漏洞",8.56155220941557e-05,0
"伦通",8.56155220941557e-05,0
"某信",8.56155220941557e-05,0
"书店",8.56155220941557e-05,0
"投债",8.56155220941557e-05,0
"温氏",8.56155220941557e-05,0
"亿吨",8.56155220941557e-05,0
"造车",8.56155220941557e-05,0
"程维",7.49135818323862e-05,0
"东航",7.49135818323862e-05,0
"高德",7.49135818323862e-05,0
"个人信用",7.49135818323862e-05,0
"介于",7.49135818323862e-05,0
"酒精",7.49135818323862e-05,0
"快车",7.49135818323862e-05,0
"每手",7.49135818323862e-05,0
"面粉",7.49135818323862e-05,0
"起重机",7.49135818323862e-05,0
"千五",7.49135818323862e-05,0
"所有制",7.49135818323862e-05,0
"王庆",7.49135818323862e-05,0
"微信群",7.49135818323862e-05,0
"安全管理",6.42116415706168e-05,0
"碧桂园",6.42116415706168e-05,0
"陈粮",6.42116415706168e-05,0
"单季",6.42116415706168e-05,0
"抵押物",6.42116415706168e-05,0
"杜邦",6.42116415706168e-05,0
"发放贷款",6.42116415706168e-05,0
"购销",6.42116415706168e-05,0
"黄洁莉",6.42116415706168e-05,0
"领航",6.42116415706168e-05,0
"孟某",6.42116415706168e-05,0
"目标价位",6.42116415706168e-05,0
"欧银",6.42116415706168e-05,0
"全天候",6.42116415706168e-05,0
"申请人",6.42116415706168e-05,0
"天堂",6.42116415706168e-05,0
"外延",6.42116415706168e-05,0
"王健林",6.42116415706168e-05,0
"维和",6.42116415706168e-05,0
"油种",6.42116415706168e-05,0
"中国证监会",6.42116415706168e-05,0
"保税",5.35097013088473e-05,0
"比一季度",5.35097013088473e-05,0
"部门负责人",5.35097013088473e-05,0
"仓库",5.35097013088473e-05,0
"超跌",5.35097013088473e-05,0
"陈泽浩",5.35097013088473e-05,0
"触顶",5.35097013088473e-05,0
"当成",5.35097013088473e-05,0
"调整结束",5.35097013088473e-05,0
"符合条件",5.35097013088473e-05,0
"广发",5.35097013088473e-05,0
"计算机设备",5.35097013088473e-05,0
"兼得",5.35097013088473e-05,0
"肩顶",5.35097013088473e-05,0
"狂奔",5.35097013088473e-05,0
"骗贷",5.35097013088473e-05,0
"千万吨",5.35097013088473e-05,0
"签发",5.35097013088473e-05,0
"邱国鹭",5.35097013088473e-05,0
"融资利率",5.35097013088473e-05,0
"三段论",5.35097013088473e-05,0
"深港",5.35097013088473e-05,0
"视作",5.35097013088473e-05,0
"同前",5.35097013088473e-05,0
"团伙",5.35097013088473e-05,0
"王刚",5.35097013088473e-05,0
"王剑",5.35097013088473e-05,0
"无限期",5.35097013088473e-05,0
"夏海钧",5.35097013088473e-05,0
"先以",5.35097013088473e-05,0
"星期二",5.35097013088473e-05,0
"行使",5.35097013088473e-05,0
"亚太地区",5.35097013088473e-05,0
"因中美",5.35097013088473e-05,0
"银行高管",5.35097013088473e-05,0
"原油分析",5.35097013088473e-05,0
"占用",5.35097013088473e-05,0
"指南",5.35097013088473e-05,0
"中国经济周刊",5.35097013088473e-05,0
"装饰",5.35097013088473e-05,0
"瀚谦",5.35097013088473e-05,0
"安泰",4.28077610470778e-05,0
"巴理克",4.28077610470778e-05,0
"保险行业",4.28077610470778e-05,0
"贝克",4.28077610470778e-05,0
"比价",4.28077610470778e-05,0
"不符",4.28077610470778e-05,0
"操盘手",4.28077610470778e-05,0
"掺混",4.28077610470778e-05,0
"产销",4.28077610470778e-05,0
"长上",4.28077610470778e-05,0
"炒股",4.28077610470778e-05,0
"车是",4.28077610470778e-05,0
"持续走低",4.28077610470778e-05,0
"大哥",4.28077610470778e-05,0
"大考",4.28077610470778e-05,0
"带长",4.28077610470778e-05,0
"带损",4.28077610470778e-05,0
"单于",4.28077610470778e-05,0
"地块",4.28077610470778e-05,0
"掉期",4.28077610470778e-05,0
"东向",4.28077610470778e-05,0
"豆粕",4.28077610470778e-05,0
"非必要",4.28077610470778e-05,0
"福泽",4.28077610470778e-05,0
"该位",4.28077610470778e-05,0
"更进一步",4.28077610470778e-05,0
"构资",4.28077610470778e-05,0
"郭少军",4.28077610470778e-05,0
"国开行",4.28077610470778e-05,0
"过渡期",4.28077610470778e-05,0
"航运",4.28077610470778e-05,0
"河东",4.28077610470778e-05,0
"河西",4.28077610470778e-05,0
"恒星",4.28077610470778e-05,0
"宏利",4.28077610470778e-05,0
"后天",4.28077610470778e-05,0
"沪铜",4.28077610470778e-05,0
"华夏银行",4.28077610470778e-05,0
"机构账户",4.28077610470778e-05,0
"既定",4.28077610470778e-05,0
"甲醇",4.28077610470778e-05,0
"价格水平",4.28077610470778e-05,0
"交易所市场",4.28077610470778e-05,0
"秸秆",4.28077610470778e-05,0
"劲敌",4.28077610470778e-05,0
"京师",4.28077610470778e-05,0
"居间人",4.28077610470778e-05,0
"居伦",4.28077610470778e-05,0
"卡塔尔",4.28077610470778e-05,0
"可能引发",4.28077610470778e-05,0
"库容",4.28077610470778e-05,0
"粮食安全",4.28077610470778e-05,0
"两千",4.28077610470778e-05,0
"萝卜",4.28077610470778e-05,0
"买价",4.28077610470778e-05,0
"卖价",4.28077610470778e-05,0
"煤炭行业",4.28077610470778e-05,0
"每笔",4.28077610470778e-05,0
"名义收益",4.28077610470778e-05,0
"内亚盘",4.28077610470778e-05,0
"平开",4.28077610470778e-05,0
"全能",4.28077610470778e-05,0
"三月",4.28077610470778e-05,0
"泰达",4.28077610470778e-05,0
"同增",4.28077610470778e-05,0
"铜价",4.28077610470778e-05,0
"投资回报率",4.28077610470778e-05,0
"推送",4.28077610470778e-05,0
"挖掘机",4.28077610470778e-05,0
"汪政",4.28077610470778e-05,0
"温州",4.28077610470778e-05,0
"文治",4.28077610470778e-05,0
"无息",4.28077610470778e-05,0
"线布",4.28077610470778e-05,0
"享有",4.28077610470778e-05,0
"小时数",4.28077610470778e-05,0
"烟草",4.28077610470778e-05,0
"一键",4.28077610470778e-05,0
"一万",4.28077610470778e-05,0
"易员",4.28077610470778e-05,0
